title,author,length
Just My Luck,By: Lena Hendrix,Length: 8 hrs and 29 mins
Mushoku Tensei,By: Rifujin na Magonote,Length: 8 hrs
Method Acting,By: N.R. Walker,Length: 6 hrs and 42 mins
I Married Krogal,By: Regine Abel,Length: 8 hrs and 52 mins
The Body in the Backyard,By: Lucy Score,Length: 11 hrs and 56 mins
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins
From The Wizarding Archive,"By: J.K. Rowling, Evanna Lynch - foreword",Length: Not Yet Known
"2 Lies, 2 Thrones",By: Eric Ugland,Length: 9 hrs and 13 mins
Prairie Man,By: Dean Butler,Length: 10 hrs and 7 mins
Mark of the Fool 6,By: J.M. Clarke,Length: 23 hrs and 3 mins
Stolen Mothers,By: Stacy Green,Length: 8 hrs and 7 mins
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
Mushoku Tensei: Jobless Reincarnation: Vol. 21,By: Rifujin na Magonote,Length: 7 hrs and 32 mins
The Empress of Beasts,By: pirateaba,Length: 30 hrs and 29 mins
Pawn of Prophecy,By: David Eddings,Length: 10 hrs and 14 mins
Spirit Crossing,By: William Kent Krueger,Length: 11 hrs and 15 mins
Lights Out,By: Navessa Allen,Length: 13 hrs and 38 mins
Shattered Dreams,By: Shawn Wilson,Length: 12 hrs and 33 mins
A Controversial Cover,By: Lorna Barrett,Length: 9 hrs and 25 mins
