,date,home,score,away
0,12-08-2023,Arsenal,2 - 1,Nott'm Forest
1,21-08-2023,Crystal Palace,0 - 1,Arsenal
2,26-08-2023,Arsenal,2 - 2,Fulham
3,03-09-2023,Arsenal,3 - 1,Man United
4,17-09-2023,Everton,0 - 1,Arsenal
5,24-09-2023,Arsenal,2 - 2,Tottenham
6,30-09-2023,Bournemouth,0 - 4,Arsenal
7,08-10-2023,Arsenal,1 - 0,Man City
8,21-10-2023,Chelsea,2 - 2,Arsenal
9,28-10-2023,Arsenal,5 - 0,Sheffield United
10,04-11-2023,Newcastle,1 - 0,Arsenal
11,11-11-2023,Arsenal,3 - 1,Burnley
12,25-11-2023,Brentford,0 - 1,Arsenal
13,02-12-2023,Arsenal,2 - 1,Wolves
14,05-12-2023,Luton,3 - 4,Arsenal
15,09-12-2023,Aston Villa,1 - 0,Arsenal
16,17-12-2023,Arsenal,2 - 0,Brighton
17,23-12-2023,Liverpool,1 - 1,Arsenal
18,28-12-2023,Arsenal,0 - 2,West Ham
19,31-12-2023,Fulham,2 - 1,Arsenal
20,20-01-2024,Arsenal,5 - 0,Crystal Palace
21,30-01-2024,Nott'm Forest,1 - 2,Arsenal
22,04-02-2024,Arsenal,3 - 1,Liverpool
23,11-02-2024,West Ham,0 - 6,Arsenal
24,17-02-2024,Burnley,0 - 5,Arsenal
25,24-02-2024,Arsenal,4 - 1,Newcastle
26,04-03-2024,Sheffield United,0 - 6,Arsenal
27,09-03-2024,Arsenal,2 - 1,Brentford
28,31-03-2024,Man City,0 - 0,Arsenal
29,03-04-2024,Arsenal,2 - 0,Luton
30,06-04-2024,Brighton,0 - 3,Arsenal
31,14-04-2024,Arsenal,0 - 2,Aston Villa
32,20-04-2024,Wolves,0 - 2,Arsenal
33,23-04-2024,Arsenal,5 - 0,Chelsea
34,28-04-2024,Tottenham,2 - 3,Arsenal
35,04-05-2024,Arsenal,3 - 0,Bournemouth
36,12-05-2024,Man United,0 - 1,Arsenal
37,19-05-2024,Arsenal,2 - 1,Everton
38,12-08-2023,Newcastle,5 - 1,Aston Villa
39,20-08-2023,Aston Villa,4 - 0,Everton
40,27-08-2023,Burnley,1 - 3,Aston Villa
41,03-09-2023,Liverpool,3 - 0,Aston Villa
42,16-09-2023,Aston Villa,3 - 1,Crystal Palace
43,24-09-2023,Chelsea,0 - 1,Aston Villa
44,30-09-2023,Aston Villa,6 - 1,Brighton
45,08-10-2023,Wolves,1 - 1,Aston Villa
46,22-10-2023,Aston Villa,4 - 1,West Ham
47,29-10-2023,Aston Villa,3 - 1,Luton
48,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
49,12-11-2023,Aston Villa,3 - 1,Fulham
50,26-11-2023,Tottenham,1 - 2,Aston Villa
51,03-12-2023,Bournemouth,2 - 2,Aston Villa
52,06-12-2023,Aston Villa,1 - 0,Man City
53,09-12-2023,Aston Villa,1 - 0,Arsenal
54,17-12-2023,Brentford,1 - 2,Aston Villa
55,22-12-2023,Aston Villa,1 - 1,Sheffield United
56,26-12-2023,Man United,3 - 2,Aston Villa
57,30-12-2023,Aston Villa,3 - 2,Burnley
58,14-01-2024,Everton,0 - 0,Aston Villa
59,30-01-2024,Aston Villa,1 - 3,Newcastle
60,03-02-2024,Sheffield United,0 - 5,Aston Villa
61,11-02-2024,Aston Villa,1 - 2,Man United
62,17-02-2024,Fulham,1 - 2,Aston Villa
63,24-02-2024,Aston Villa,4 - 2,Nott'm Forest
64,02-03-2024,Luton,2 - 3,Aston Villa
65,10-03-2024,Aston Villa,0 - 4,Tottenham
66,17-03-2024,West Ham,1 - 1,Aston Villa
67,30-03-2024,Aston Villa,2 - 0,Wolves
68,03-04-2024,Man City,4 - 1,Aston Villa
69,06-04-2024,Aston Villa,3 - 3,Brentford
70,14-04-2024,Arsenal,0 - 2,Aston Villa
71,21-04-2024,Aston Villa,3 - 1,Bournemouth
72,27-04-2024,Aston Villa,2 - 2,Chelsea
73,05-05-2024,Brighton,1 - 0,Aston Villa
74,13-05-2024,Aston Villa,3 - 3,Liverpool
75,19-05-2024,Crystal Palace,5 - 0,Aston Villa
76,12-08-2023,Bournemouth,1 - 1,West Ham
77,19-08-2023,Liverpool,3 - 1,Bournemouth
78,26-08-2023,Bournemouth,0 - 2,Tottenham
79,02-09-2023,Brentford,2 - 2,Bournemouth
80,17-09-2023,Bournemouth,0 - 0,Chelsea
81,24-09-2023,Brighton,3 - 1,Bournemouth
82,30-09-2023,Bournemouth,0 - 4,Arsenal
83,07-10-2023,Everton,3 - 0,Bournemouth
84,21-10-2023,Bournemouth,1 - 2,Wolves
85,28-10-2023,Bournemouth,2 - 1,Burnley
86,04-11-2023,Man City,6 - 1,Bournemouth
87,11-11-2023,Bournemouth,2 - 0,Newcastle
88,25-11-2023,Sheffield United,1 - 3,Bournemouth
89,03-12-2023,Bournemouth,2 - 2,Aston Villa
90,06-12-2023,Crystal Palace,0 - 2,Bournemouth
91,09-12-2023,Man United,0 - 3,Bournemouth
92,23-12-2023,Nott'm Forest,2 - 3,Bournemouth
93,26-12-2023,Bournemouth,3 - 0,Fulham
94,31-12-2023,Tottenham,3 - 1,Bournemouth
95,21-01-2024,Bournemouth,0 - 4,Liverpool
96,01-02-2024,West Ham,1 - 1,Bournemouth
97,04-02-2024,Bournemouth,1 - 1,Nott'm Forest
98,10-02-2024,Fulham,3 - 1,Bournemouth
99,17-02-2024,Newcastle,2 - 2,Bournemouth
100,24-02-2024,Bournemouth,0 - 1,Man City
101,03-03-2024,Burnley,0 - 2,Bournemouth
102,09-03-2024,Bournemouth,2 - 2,Sheffield United
103,13-03-2024,Bournemouth,4 - 3,Luton
104,30-03-2024,Bournemouth,2 - 1,Everton
105,02-04-2024,Bournemouth,1 - 0,Crystal Palace
106,06-04-2024,Luton,2 - 1,Bournemouth
107,13-04-2024,Bournemouth,2 - 2,Man United
108,21-04-2024,Aston Villa,3 - 1,Bournemouth
109,24-04-2024,Wolves,0 - 1,Bournemouth
110,28-04-2024,Bournemouth,3 - 0,Brighton
111,04-05-2024,Arsenal,3 - 0,Bournemouth
112,11-05-2024,Bournemouth,1 - 2,Brentford
113,19-05-2024,Chelsea,2 - 1,Bournemouth
114,13-08-2023,Brentford,2 - 2,Tottenham
115,19-08-2023,Fulham,0 - 3,Brentford
116,26-08-2023,Brentford,1 - 1,Crystal Palace
117,02-09-2023,Brentford,2 - 2,Bournemouth
118,16-09-2023,Newcastle,1 - 0,Brentford
119,23-09-2023,Brentford,1 - 3,Everton
120,01-10-2023,Nott'm Forest,1 - 1,Brentford
121,07-10-2023,Man United,2 - 1,Brentford
122,21-10-2023,Brentford,3 - 0,Burnley
123,28-10-2023,Chelsea,0 - 2,Brentford
124,04-11-2023,Brentford,3 - 2,West Ham
125,12-11-2023,Liverpool,3 - 0,Brentford
126,25-11-2023,Brentford,0 - 1,Arsenal
127,02-12-2023,Brentford,3 - 1,Luton
128,06-12-2023,Brighton,2 - 1,Brentford
129,09-12-2023,Sheffield United,1 - 0,Brentford
130,17-12-2023,Brentford,1 - 2,Aston Villa
131,27-12-2023,Brentford,1 - 4,Wolves
132,30-12-2023,Crystal Palace,3 - 1,Brentford
133,20-01-2024,Brentford,3 - 2,Nott'm Forest
134,31-01-2024,Tottenham,3 - 2,Brentford
135,05-02-2024,Brentford,1 - 3,Man City
136,10-02-2024,Wolves,0 - 2,Brentford
137,17-02-2024,Brentford,1 - 4,Liverpool
138,20-02-2024,Man City,1 - 0,Brentford
139,26-02-2024,West Ham,4 - 2,Brentford
140,02-03-2024,Brentford,2 - 2,Chelsea
141,09-03-2024,Arsenal,2 - 1,Brentford
142,16-03-2024,Burnley,2 - 1,Brentford
143,30-03-2024,Brentford,1 - 1,Man United
144,03-04-2024,Brentford,0 - 0,Brighton
145,06-04-2024,Aston Villa,3 - 3,Brentford
146,13-04-2024,Brentford,2 - 0,Sheffield United
147,20-04-2024,Luton,1 - 5,Brentford
148,27-04-2024,Everton,1 - 0,Brentford
149,04-05-2024,Brentford,0 - 0,Fulham
150,11-05-2024,Bournemouth,1 - 2,Brentford
151,19-05-2024,Brentford,2 - 4,Newcastle
152,12-08-2023,Brighton,4 - 1,Luton
153,19-08-2023,Wolves,1 - 4,Brighton
154,26-08-2023,Brighton,1 - 3,West Ham
155,02-09-2023,Brighton,3 - 1,Newcastle
156,16-09-2023,Man United,1 - 3,Brighton
157,24-09-2023,Brighton,3 - 1,Bournemouth
158,30-09-2023,Aston Villa,6 - 1,Brighton
159,08-10-2023,Brighton,2 - 2,Liverpool
160,21-10-2023,Man City,2 - 1,Brighton
161,29-10-2023,Brighton,1 - 1,Fulham
162,04-11-2023,Everton,1 - 1,Brighton
163,12-11-2023,Brighton,1 - 1,Sheffield United
164,25-11-2023,Nott'm Forest,2 - 3,Brighton
165,03-12-2023,Chelsea,3 - 2,Brighton
166,06-12-2023,Brighton,2 - 1,Brentford
167,09-12-2023,Brighton,1 - 1,Burnley
168,17-12-2023,Arsenal,2 - 0,Brighton
169,21-12-2023,Crystal Palace,1 - 1,Brighton
170,28-12-2023,Brighton,4 - 2,Tottenham
171,02-01-2024,West Ham,0 - 0,Brighton
172,22-01-2024,Brighton,0 - 0,Wolves
173,30-01-2024,Luton,4 - 0,Brighton
174,03-02-2024,Brighton,4 - 1,Crystal Palace
175,10-02-2024,Tottenham,2 - 1,Brighton
176,18-02-2024,Sheffield United,0 - 5,Brighton
177,24-02-2024,Brighton,1 - 1,Everton
178,02-03-2024,Fulham,3 - 0,Brighton
179,10-03-2024,Brighton,1 - 0,Nott'm Forest
180,31-03-2024,Liverpool,2 - 1,Brighton
181,03-04-2024,Brentford,0 - 0,Brighton
182,06-04-2024,Brighton,0 - 3,Arsenal
183,13-04-2024,Burnley,1 - 1,Brighton
184,25-04-2024,Brighton,0 - 4,Man City
185,28-04-2024,Bournemouth,3 - 0,Brighton
186,05-05-2024,Brighton,1 - 0,Aston Villa
187,11-05-2024,Newcastle,1 - 1,Brighton
188,15-05-2024,Brighton,1 - 2,Chelsea
189,19-05-2024,Brighton,0 - 2,Man United
190,11-08-2023,Burnley,0 - 3,Man City
191,27-08-2023,Burnley,1 - 3,Aston Villa
192,02-09-2023,Burnley,2 - 5,Tottenham
193,18-09-2023,Nott'm Forest,1 - 1,Burnley
194,23-09-2023,Burnley,0 - 1,Man United
195,30-09-2023,Newcastle,2 - 0,Burnley
196,03-10-2023,Luton,1 - 2,Burnley
197,07-10-2023,Burnley,1 - 4,Chelsea
198,21-10-2023,Brentford,3 - 0,Burnley
199,28-10-2023,Bournemouth,2 - 1,Burnley
200,04-11-2023,Burnley,0 - 2,Crystal Palace
201,11-11-2023,Arsenal,3 - 1,Burnley
202,25-11-2023,Burnley,1 - 2,West Ham
203,02-12-2023,Burnley,5 - 0,Sheffield United
204,05-12-2023,Wolves,1 - 0,Burnley
205,09-12-2023,Brighton,1 - 1,Burnley
206,16-12-2023,Burnley,0 - 2,Everton
207,23-12-2023,Fulham,0 - 2,Burnley
208,26-12-2023,Burnley,0 - 2,Liverpool
209,30-12-2023,Aston Villa,3 - 2,Burnley
210,12-01-2024,Burnley,1 - 1,Luton
211,31-01-2024,Man City,3 - 1,Burnley
212,03-02-2024,Burnley,2 - 2,Fulham
213,10-02-2024,Liverpool,3 - 1,Burnley
214,17-02-2024,Burnley,0 - 5,Arsenal
215,24-02-2024,Crystal Palace,3 - 0,Burnley
216,03-03-2024,Burnley,0 - 2,Bournemouth
217,10-03-2024,West Ham,2 - 2,Burnley
218,16-03-2024,Burnley,2 - 1,Brentford
219,30-03-2024,Chelsea,2 - 2,Burnley
220,02-04-2024,Burnley,1 - 1,Wolves
221,06-04-2024,Everton,1 - 0,Burnley
222,13-04-2024,Burnley,1 - 1,Brighton
223,20-04-2024,Sheffield United,1 - 4,Burnley
224,27-04-2024,Man United,1 - 1,Burnley
225,04-05-2024,Burnley,1 - 4,Newcastle
226,11-05-2024,Tottenham,2 - 1,Burnley
227,19-05-2024,Burnley,1 - 2,Nott'm Forest
228,13-08-2023,Chelsea,1 - 1,Liverpool
229,20-08-2023,West Ham,3 - 1,Chelsea
230,25-08-2023,Chelsea,3 - 0,Luton
231,02-09-2023,Chelsea,0 - 1,Nott'm Forest
232,17-09-2023,Bournemouth,0 - 0,Chelsea
233,24-09-2023,Chelsea,0 - 1,Aston Villa
234,02-10-2023,Fulham,0 - 2,Chelsea
235,07-10-2023,Burnley,1 - 4,Chelsea
236,21-10-2023,Chelsea,2 - 2,Arsenal
237,28-10-2023,Chelsea,0 - 2,Brentford
238,06-11-2023,Tottenham,1 - 4,Chelsea
239,12-11-2023,Chelsea,4 - 4,Man City
240,25-11-2023,Newcastle,4 - 1,Chelsea
241,03-12-2023,Chelsea,3 - 2,Brighton
242,06-12-2023,Man United,2 - 1,Chelsea
243,10-12-2023,Everton,2 - 0,Chelsea
244,16-12-2023,Chelsea,2 - 0,Sheffield United
245,24-12-2023,Wolves,2 - 1,Chelsea
246,27-12-2023,Chelsea,2 - 1,Crystal Palace
247,30-12-2023,Luton,2 - 3,Chelsea
248,13-01-2024,Chelsea,1 - 0,Fulham
249,31-01-2024,Liverpool,4 - 1,Chelsea
250,04-02-2024,Chelsea,2 - 4,Wolves
251,12-02-2024,Crystal Palace,1 - 3,Chelsea
252,17-02-2024,Man City,1 - 1,Chelsea
253,02-03-2024,Brentford,2 - 2,Chelsea
254,11-03-2024,Chelsea,3 - 2,Newcastle
255,30-03-2024,Chelsea,2 - 2,Burnley
256,04-04-2024,Chelsea,4 - 3,Man United
257,07-04-2024,Sheffield United,2 - 2,Chelsea
258,15-04-2024,Chelsea,6 - 0,Everton
259,23-04-2024,Arsenal,5 - 0,Chelsea
260,27-04-2024,Aston Villa,2 - 2,Chelsea
261,02-05-2024,Chelsea,2 - 0,Tottenham
262,05-05-2024,Chelsea,5 - 0,West Ham
263,11-05-2024,Nott'm Forest,2 - 3,Chelsea
264,15-05-2024,Brighton,1 - 2,Chelsea
265,19-05-2024,Chelsea,2 - 1,Bournemouth
266,12-08-2023,Sheffield United,0 - 1,Crystal Palace
267,21-08-2023,Crystal Palace,0 - 1,Arsenal
268,26-08-2023,Brentford,1 - 1,Crystal Palace
269,03-09-2023,Crystal Palace,3 - 2,Wolves
270,16-09-2023,Aston Villa,3 - 1,Crystal Palace
271,23-09-2023,Crystal Palace,0 - 0,Fulham
272,30-09-2023,Man United,0 - 1,Crystal Palace
273,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
274,21-10-2023,Newcastle,4 - 0,Crystal Palace
275,27-10-2023,Crystal Palace,1 - 2,Tottenham
276,04-11-2023,Burnley,0 - 2,Crystal Palace
277,11-11-2023,Crystal Palace,2 - 3,Everton
278,25-11-2023,Luton,2 - 1,Crystal Palace
279,03-12-2023,West Ham,1 - 1,Crystal Palace
280,06-12-2023,Crystal Palace,0 - 2,Bournemouth
281,09-12-2023,Crystal Palace,1 - 2,Liverpool
282,16-12-2023,Man City,2 - 2,Crystal Palace
283,21-12-2023,Crystal Palace,1 - 1,Brighton
284,27-12-2023,Chelsea,2 - 1,Crystal Palace
285,30-12-2023,Crystal Palace,3 - 1,Brentford
286,20-01-2024,Arsenal,5 - 0,Crystal Palace
287,30-01-2024,Crystal Palace,3 - 2,Sheffield United
288,03-02-2024,Brighton,4 - 1,Crystal Palace
289,12-02-2024,Crystal Palace,1 - 3,Chelsea
290,19-02-2024,Everton,1 - 1,Crystal Palace
291,24-02-2024,Crystal Palace,3 - 0,Burnley
292,02-03-2024,Tottenham,3 - 1,Crystal Palace
293,09-03-2024,Crystal Palace,1 - 1,Luton
294,30-03-2024,Nott'm Forest,1 - 1,Crystal Palace
295,02-04-2024,Bournemouth,1 - 0,Crystal Palace
296,06-04-2024,Crystal Palace,2 - 4,Man City
297,14-04-2024,Liverpool,0 - 1,Crystal Palace
298,21-04-2024,Crystal Palace,5 - 2,West Ham
299,24-04-2024,Crystal Palace,2 - 0,Newcastle
300,27-04-2024,Fulham,1 - 1,Crystal Palace
301,06-05-2024,Crystal Palace,4 - 0,Man United
302,11-05-2024,Wolves,1 - 3,Crystal Palace
303,19-05-2024,Crystal Palace,5 - 0,Aston Villa
304,12-08-2023,Everton,0 - 1,Fulham
305,20-08-2023,Aston Villa,4 - 0,Everton
306,26-08-2023,Everton,0 - 1,Wolves
